timestep_1,technology_1,technology_2,technology_3,parameter_1,value_1,parameter_2,value_2,comment
2020,wind,,,lifeConv,25,costInvConv,1458.77,
2020,solar,rooftop,solarThermal,lifeConv,26,costInvConv,1100,
2020,solar,rooftop,photovoltaic,lifeConv,25,costInvConv,1184.28,
2020,solar,openspace,,lifeConv,25,costInvConv,637.69,
,gasPlant,ccgtPlant,noCHP,lifeConv,32,costInvConv,1093.75,investment costs always relate to input capacity (this is because efficiency and therefore also output capacity can vary by mode/timestep...)
,gasPlant,ccgtPlant,CHP,lifeConv,32,costInvConv,1411.764706,
,gasPlant,ocgtPlant,,lifeConv,50,costInvConv,597.826087,
2020,heatpump,,,lifeConv,20,costInvConv,607.1428571,
,gasBoiler,,,lifeConv,30,costInvConv,861.1111111,
2020,electrolysis,,,lifeConv,30,costInvConv,1449.940089,
2020,methanation,,,lifeConv,30,costInvConv,2659.62196,
2020,fuelCell,,,lifeConv,7,costInvConv,21195.58515,
2020,solar,rooftop,photovoltaic,lifeStIn,10,costInvStIn,131,
2020,solar,rooftop,photovoltaic,lifeStSize,10,costInvStSize,562.5,
,solar,rooftop,solarThermal,lifeStIn,40,costInvStIn,2,
,solar,rooftop,solarThermal,lifeStSize,40,costInvStSize,30,
,wind,,,costOprConv,30,,,operational costs always relate to input capacity (this is because efficiency and therefore also output capacity can vary by mode/timestep...)
,solar,openspace,,costOprConv,11,,,
,solar,rooftop,photovoltaic,costOprConv,21,,,
,solar,rooftop,solarThermal,costOprConv,0.6,,,
,gasPlant,ccgtPlant,noCHP,costOprConv,38.28125,,,
,gasPlant,ccgtPlant,CHP,costOprConv,34.70588235,,,
,gasPlant,ocgtPlant,,costOprConv,17.93478261,,,
,coalPlant,,,costOprConv,163.3333333,,,
,heatpump,,,costOprConv,14.6,,,
,gasBoiler,,,costOprConv,19.4,,,
,electrolysis,,,costOprConv,24,,,
,methanation,,,costOprConv,32.88999691,,,
,methanation,,,costVarUse,100,,,variable cost assumed to represent carbon required as an input
